artist_id,Track,Year,Streams,Revenue_USD,country_id,sub_type_id,age_group_id
5,Wake Me Up (feat. Justice),2021,321147,13035.11,4,2,1
5,Cry For Me,2023,190560,12818.14,1,2,4
5,I Can't Fucking Sing,2019,295077,16020.41,7,0,1
5,São Paulo (feat. Anitta),2021,557311,16907.12,0,2,3
5,Until We're Skin & Bones,2023,471741,21707.92,3,0,1
5,Baptized In Fear,2023,778646,41505.45,2,2,4
5,Open Hearts,2022,735963,34838.44,9,0,4
5,Opening Night,2021,204501,9860.18,12,0,2
5,"Reflections Laughing (feat. Travis Scott, Florence + The Machine)",2024,261801,8061.71,2,0,3
5,Enjoy The Show (feat. Future),2024,610209,23859.35,7,2,4
5,Given Up On Me,2024,350607,18893.19,12,2,0
5,I Can't Wait To Get There,2020,773947,31353.84,7,2,0
5,Timeless (feat Playboi Carti),2023,587477,19379.56,11,2,0
5,Niagara Falls,2019,944986,28496.58,10,0,0
5,Take Me Back To LA,2021,544818,26513.94,7,0,3
5,Big Sleep (feat. Giorgio Moroder),2020,562225,37815.31,8,2,2
5,Give Me Mercy,2022,772517,39967.3,8,2,3
5,Drive,2021,327228,13670.53,4,0,3
5,The Abyss (feat. Lana Del Rey),2020,989541,56476.93,14,0,2
5,Red Terror,2019,660092,34584.05,13,0,2
5,Starboy (feat. Daft Punk),2019,646744,36071.62,7,0,3
5,Party Monster,2023,688366,33886.64,5,2,3
5,False Alarm,2020,539904,27256.76,12,0,3
5,Reminder,2019,719590,49306.61,8,0,3
5,Rockin’,2022,593425,30672.64,0,0,4
5,Secrets,2024,96405,5052.39,2,2,0
5,True Colors,2019,199314,9643.63,11,2,4
5,Stargirl Interlude (feat. Lana Del Rey),2019,163992,8682.43,14,2,3
5,Sidewalks (feat. Kendrick Lamar),2020,297335,18875.4,7,2,1
5,Six Feet Under,2024,70083,2825.03,3,2,1
5,Love To Lay,2024,712569,42651.44,3,0,0
5,A Lonely Night,2024,989276,68709.84,6,2,0
5,Attention,2023,359049,20577.65,12,2,0
5,Ordinary Life,2020,575286,23073.31,1,0,4
5,Nothing Without You,2020,542455,18532.32,0,0,3
5,All I Know (feat. Future),2020,408349,13931.81,6,0,0
5,Die For You,2021,213139,7513.46,4,2,1
5,I Feel It Coming (feat. Daft Punk),2021,549717,30460.74,7,0,1
5,Die For You (with Ariana Grande) - Remix,2024,948569,59892.21,12,0,0
5,Starboy (feat. Daft Punk) - Kygo Remix,2022,392746,12178.65,2,2,0
5,Intro - Live,2021,130738,6412.29,12,2,3
5,Alone Again - Live,2023,962829,42048.38,3,0,4
5,Gasoline - Live,2019,822791,57527.93,9,0,2
5,Sacrifice - Live,2019,246014,12702.39,6,2,4
5,How Do I Make You Love Me? - Live,2022,240841,14751.97,11,2,2
5,Can't Feel My Face - Live,2021,779163,34875.32,11,2,4
5,Take My Breath - Live,2019,134795,4618.84,9,0,4
5,Hurricane - Live,2024,750481,45339.86,12,2,4
5,The Hills - Live,2024,665551,32044.41,9,2,1
5,Often - Live,2019,109524,6226.85,2,0,2
5,Crew Love - Live,2021,556919,36481.57,0,0,0
5,Starboy - Live,2023,506807,20167.44,0,0,1
5,Heartless - Live,2019,608544,19863.49,11,0,4
5,Low Life - Live,2024,340605,14122.37,14,2,1
5,Or Nah - Live,2022,72765,4143.19,13,0,4
5,Kiss Land - Live,2021,692034,29021.21,12,0,3
5,Party Monster - Live,2019,916555,36832.27,0,0,4
5,Faith - Live,2024,419223,27999.65,4,2,2
5,After Hours - Live,2019,68288,3843.62,4,2,2
5,Out of Time - Live,2021,832214,43543.05,7,2,3
5,Dawn FM,2022,382294,21280.34,3,2,2
5,Gasoline,2019,314104,13981.88,0,2,1
5,How Do I Make You Love Me?,2024,360089,25137.49,14,0,1
5,Take My Breath,2022,874787,36240.46,6,2,4
5,Sacrifice,2019,151256,6026.41,12,0,2
5,A Tale By Quincy,2022,57418,2146.85,2,2,4
5,Out of Time,2019,464580,28264.37,2,0,1
5,"Here We Go… Again (feat. Tyler, the Creator)",2021,407770,22206.24,4,0,2
5,Best Friends,2023,807376,36381.89,10,2,4
5,Is There Someone Else?,2022,541162,22152.76,7,2,4
5,Starry Eyes,2019,528916,34926.95,6,2,0
5,Every Angel is Terrifying,2019,188221,12517.43,10,0,0
5,Don’t Break My Heart,2023,624251,22404.09,8,2,3
5,I Heard You're Married (feat. Lil Wayne),2020,320508,19997.52,12,0,2
5,Less Than Zero,2024,54174,2847.33,8,2,2
5,Phantom Regret by Jim,2023,476972,28117.34,6,0,1
5,Moth To A Flame (with The Weeknd),2022,554955,31137.1,4,2,3
5,Dawn FM - OPN Remix,2024,126155,7080.35,7,2,4
5,How Do I Make You Love Me? - Sebastian Ingrosso & Salvatore Ganacci Remix,2021,86470,4981.52,8,2,3
5,Sacrifice (Remix) (feat. Swedish House Mafia),2022,106839,5854.2,11,0,2
5,Dawn FM,2020,462431,27917.57,2,0,2
5,Gasoline,2022,408719,12574.58,9,2,2
5,How Do I Make You Love Me?,2019,318478,12556.42,3,0,1
5,Take My Breath,2023,220657,14888.97,0,2,2
5,Sacrifice,2021,92552,6089.51,11,0,2
5,A Tale By Quincy,2024,501055,25520.66,3,0,3
5,Out of Time,2023,107531,6931.3,7,2,1
5,"Here We Go… Again (feat. Tyler, the Creator)",2022,599797,40135.58,6,2,1
5,Best Friends,2021,582430,33666.88,13,0,3
5,Is There Someone Else?,2023,170390,7007.99,9,2,3
5,Starry Eyes,2021,755896,26208.54,2,2,2
5,Every Angel is Terrifying,2024,204516,11631.21,14,2,3
5,Don’t Break My Heart,2024,605720,32127.56,3,2,0
5,I Heard You’re Married (feat. Lil Wayne),2024,892567,43097.2,9,0,1
5,Less Than Zero,2021,427675,20711.73,3,2,2
5,Phantom Regret by Jim,2019,779396,48147.66,1,2,0
5,Alone Again,2023,515492,35539.89,4,0,1
5,Too Late,2024,459016,31577.56,1,2,1
5,Hardest To Love,2019,615815,32016.6,10,2,1
5,Scared To Live,2020,281299,9292.06,14,0,2
5,Snowchild,2021,788224,27458.34,14,2,1
5,Escape From LA,2023,343333,17640.06,8,2,1
5,Heartless,2024,978002,51989.63,3,0,4
5,Faith,2020,854087,44354.8,0,2,0
5,Blinding Lights,2023,545444,27937.78,4,0,0
5,In Your Eyes,2019,968551,42415.51,1,0,0
5,Save Your Tears,2024,943387,30833.37,3,2,0
5,Repeat After Me (Interlude),2019,684641,25492.99,5,2,2
5,After Hours,2022,321725,11200.46,5,2,2
5,Until I Bleed Out,2019,350284,22630.48,3,2,4
5,Nothing Compares - Bonus Track,2024,378772,19828.45,8,2,4
5,Missed You - Bonus Track,2021,627217,34072.75,0,2,4
5,Final Lullaby - Bonus Track,2019,961076,47618,2,0,1
5,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2019,330520,10311.12,10,0,2
5,Alone Again,2022,777992,31679.9,3,2,4
5,Too Late,2024,271020,12895.83,5,0,1
5,Hardest To Love,2020,182351,9738.6,12,2,1
5,Scared To Live,2022,827040,48324.1,14,2,3
5,Snowchild,2022,962688,32854.76,10,2,0
5,Escape From LA,2022,956169,64152.25,7,0,4
5,Heartless,2023,985824,43916.17,14,2,0
5,Faith,2021,742980,23072.8,5,0,3
5,Blinding Lights,2021,260351,12680.62,1,0,1
5,In Your Eyes,2020,267434,15447.51,13,0,2
5,Save Your Tears,2019,793459,25754.39,14,0,1
5,Repeat After Me (Interlude),2023,514477,24139.61,9,0,0
5,After Hours,2022,992633,55949.63,11,2,3
5,Until I Bleed Out,2019,677566,33190.27,1,2,0
5,Call Out My Name,2019,447371,23954.95,4,2,0
5,Try Me,2022,671468,29465.08,1,2,2
5,Wasted Times,2024,181835,12672.7,11,2,4
5,I Was Never There,2023,240370,7381.36,0,2,0
5,Hurt You,2023,968784,40963.79,3,0,0
5,Privilege,2022,484297,27033.04,14,0,4
5,Call Out My Name - A Cappella,2023,217831,7886.44,12,2,0
5,Starboy,2024,148509,9097.02,9,2,0
5,Party Monster,2020,141934,8877.61,8,2,0
5,False Alarm,2021,596972,33879.03,14,0,4
5,Reminder,2019,197205,10291.93,8,2,1
5,Rockin’,2024,686051,42217.25,0,0,4
5,Secrets,2021,451984,18699.86,12,2,2
5,True Colors,2022,698918,45200.17,13,2,4
5,Stargirl Interlude,2019,192230,11768.33,11,2,1
5,Sidewalks,2021,945826,58782.09,11,2,1
5,Six Feet Under,2024,563125,23550.98,1,2,4
5,Love To Lay,2021,921853,62890.71,10,0,4
5,A Lonely Night,2024,286571,13785.38,12,0,1
5,Attention,2022,865135,57148.05,11,2,1
5,Ordinary Life,2021,819385,51327.06,12,0,3
5,Nothing Without You,2019,464544,24761.43,8,2,4
5,All I Know,2022,414400,13849.69,11,0,2
5,Die For You,2022,764558,33384.3,1,0,3
5,I Feel It Coming,2021,378764,22848.91,5,0,1
5,Real Life,2020,549143,32096.75,2,2,3
